character_name,freebase_map_id
Stuart Little,"['/m/0k3w9c', '/m/0k3wcx', '/m/0k3wbn']"
John Doe,"['/m/0jyg35', '/m/0k2_zn']"
Josh Framm,"['/m/0jt3p3', '/m/0jt3t3']"
Caspian X,"['/m/0646flc', '/m/02vd12n']"
Apostle Peter,"['/m/02vd6_v', '/m/03lqtky', '/m/02vcr4g']"
Van Wilder,"['/m/05t9vyx', '/m/0k14rv']"
Max Cady,"['/m/0jw22y', '/m/0jw24c']"
Ludo Dekker,"['/m/075xnnb', '/m/04lr9d9']"
John McClane,"['/m/0jx8f8', '/m/0jx8dk']"
Jack Cates,"['/m/0jskgc', '/m/0jtmhj']"
Shorty Meeks,"['/m/0k2yyr', '/m/02vcwky']"
Fievel Mousekewitz,"['/m/0jtgf0', '/m/0669ryp', '/m/0669ryh', '/m/0jtgh6']"
Kazuya Mishima,"['/m/05sw_3g', '/m/0ggd_08']"
Darth Vader,"['/m/02nwtmm', '/m/02nwtmz']"
Queen Victoria,"['/m/02vc38l', '/m/04dch0t', '/m/0gwdbnp']"
Billy Fish,"['/m/0k3w17', '/m/02vcrbg']"
Ian Hawke,"['/m/06495l1', '/m/03kyztz']"
Ginger Fitzgerald,"['/m/0jystc', '/m/02tbk0l', '/m/0jysxw']"
Le Chiffre,"['/m/02hw7b6', '/m/02vd3mg']"
The Professor,"['/m/0k4kdl', '/m/02vd51h', '/m/05kkbwl', '/m/03jpnqx']"
Jim Levenstein,"['/m/0jtf48', '/m/0jtf77', '/m/0jtfgq']"
Dave Robicheaux,"['/m/03lfsn6', '/m/04dd_gs']"
Pavel Chekov,"['/m/0cgcc2b', '/m/04d4f1z']"
Chow Mo-wan,"['/m/0jsh92', '/m/0jzwm8']"
Foghorn Leghorn,"['/m/0dwf32d', '/m/0gb0dpf', '/m/0gb242_', '/m/0g9hsq4', '/m/0gx6wgh', '/m/0gx639j', '/m/0g9p_0_', '/m/0gx6vmn']"
Walter Hill,"['/m/0gw8h_9', '/m/04lr8j7']"
Dylan Sanders,"['/m/0jw863', '/m/02vc2j3']"
The Girl,"['/m/0k607q', '/m/02vbt5f', '/m/0k3xkn', '/m/0bvbj8n', '/m/040n_vv', '/m/0jz7fw']"
Sherlock Holmes,"['/m/04q3yhw', '/m/02vbxd8', '/m/05kfvdv', '/m/02vd3qk', '/m/09j2n_m', '/m/0k491m', '/m/0k6jgp', '/m/0k6cvp', '/m/0h0xk61', '/m/0k5dhq', '/m/0k84x9', '/m/02vcstt', '/m/02vbxrx', '/m/03kyn7g', '/m/02vbh0h', '/m/04htzyc', '/m/02vcwrr', '/m/02vcngl']"
Emperor Nero,"['/m/0hyq70s', '/m/0hynbsm']"
Sonia Saxena,"['/m/0j_bjl', '/m/0j_clt']"
David King,"['/m/0ly_kw6', '/m/0m00hnx']"
Mr. Big,"['/m/040kc7_', '/m/07ylsnr']"
The Drifter,"['/m/04z6j5n', '/m/03jt5m_']"
Molly O,"['/m/04lrfc5', '/m/04lr9cy']"
Judas Iscariot,"['/m/0cg6znq', '/m/02vd90_']"
Gloria Sullivan,"['/m/0k8bwm', '/m/03jt5d8']"
Jennifer Parker,"['/m/04m2m7m', '/m/0cg9lrp', '/m/0cf_swn']"
Roger Murtaugh,"['/m/0j_zl4', '/m/0j_zh0']"
Sharpay Evans,"['/m/0gl45p4', '/m/02vc3dx', '/m/03lyytc', '/m/0jzdz2']"
Charlie Dog,"['/m/0hyn_tz', '/m/0hynmp_']"
Dr. Vijay,"['/m/08c_ry1', '/m/045y8kf']"
Aldous Snow,"['/m/02vbl0l', '/m/0648t1y']"
Mr. Smith,"['/m/0crzdny', '/m/02vb_mp', '/m/0k0ws6', '/m/05tdsk5', '/m/0k568m']"
Ricky Baker,"['/m/09hy110', '/m/09hyrhv', '/m/0jvr1n']"
The Stranger,"['/m/0c05y0n', '/m/0gbwrm0', '/m/0jzdrz']"
Michelle Flaherty,"['/m/0jtf7k', '/m/0jtfh0', '/m/03jqhlx']"
Sidney Prescott,"['/m/0bc3xjq', '/m/0k2_bc', '/m/0k2_d8', '/m/0k2_gh']"
Kay Adams,"['/m/0k56j6', '/m/02nxvzm', '/m/0k56l9']"
Ted Striker,"['/m/0jt4nj', '/m/0jt4lr']"
Prince Charming,"['/m/0ggfz50', '/m/02tbdp_', '/m/071mfr6', '/m/0k382g']"
Bill Holt,"['/m/02tbd42', '/m/04ytg9m']"
Josef Stalin,"['/m/0g4z8rm', '/m/0g4z853']"
Jake Taylor,"['/m/08d8ttw', '/m/0jwwhd', '/m/0k0c7g']"
Dorinda Durston,"['/m/03lmv58', '/m/0jtc4l']"
Robin Hood,"['/m/0k2m0f', '/m/0k48xm', '/m/09l3pqd', '/m/0k2m4s', '/m/0k2lw_', '/m/0k2m26']"
Jonathan Corliss,"['/m/03l6c0g', '/m/09lxy53']"
Marie Antoinette,"['/m/03jq9ls', '/m/0k0g5v']"
Tin Man,"['/m/02vb_7z', '/m/02vd8g1']"
Betty Boop,"['/m/0h1lxgm', '/m/052cmzn', '/m/052b3x8']"
Charlie Chaplin,"['/m/02wt53c', '/m/02vcr6x']"
Tom Baker,"['/m/0jw92q', '/m/0jw94s']"
David Martin,"['/m/0h58rg6', '/m/04ddnlm']"
Nicholas Nickleby,"['/m/040m2kb', '/m/040jwv4']"
Prince Edward,"['/m/0jxvm9', '/m/09l5byq']"
Carrie Bradshaw,"['/m/05nxhmg', '/m/040kc92']"
Jack Foley,"['/m/04djr3v', '/m/0k1nyn']"
Vikram Kapoor,"['/m/02tbhcv', '/m/0gxdvbl']"
Philip Marlowe,"['/m/0g5cs5b', '/m/0k4gwm', '/m/0k4l3j', '/m/0j_r4h', '/m/0k5rp6', '/m/02vd1yn', '/m/02vczqt']"
Richard Mason,"['/m/0jwn2r', '/m/0cg1_ww', '/m/0crt1g7']"
Harry Potter,"['/m/0jz6jt', '/m/02tbbh6', '/m/0jz6mq', '/m/0jz6hs', '/m/02tbf6n', '/m/0jz6b0', '/m/0jz6dz', '/m/09lybcb']"
Mia Toretto,"['/m/0g5dvbj', '/m/0k51p6']"
Tom Logan,"['/m/03l919d', '/m/0j_wl9', '/m/03jpb31']"
Prince Philip,"['/m/03jq06x', '/m/02vc93_']"
Sam Sheepdog,"['/m/052d6jq', '/m/0hynq6q', '/m/0hyqrrg']"
Orson Welles,"['/m/03lm1h6', '/m/04p6sj4']"
Tony Toponi,"['/m/09hytcz', '/m/08npm48']"
Tommy Pickles,"['/m/0k6bh4', '/m/0fps3w2']"
Mace Windu,"['/m/0jw2m_', '/m/02s9v_w']"
Uncle Elroy,"['/m/0ggd7n2', '/m/0ggcd_z']"
The Driver,"['/m/0gz7vtg', '/m/0k4zg4']"
Bilbo Baggins,"['/m/02vc8t6', '/m/0k5s6b']"
Snow Queen,"['/m/09j3hpg', '/m/02vcwbj']"
Arun Chatterjee,"['/m/0gw43_s', '/m/0cs9nlj']"
Ricky Nash,"['/m/0jv0vh', '/m/03jtclx']"
Tony Blair,"['/m/0cc0mtb', '/m/02vb3sp']"
Sir Galahad,"['/m/0h571ky', '/m/0k0t3j']"
Charlie Conway,"['/m/02tb8_3', '/m/02vcgl4', '/m/02tb0r3']"
Uncle Fester,"['/m/0k484q', '/m/0jt0x3']"
Ko Chun,"['/m/03jprrw', '/m/03jrb44']"
Sherman Klump,"['/m/0k60hq', '/m/0k1dvd']"
Apple Annie,"['/m/0k1zg9', '/m/02vccxr']"
Harrison Bergeron,"['/m/0jz62w', '/m/07fzr_s']"
Sadie Thompson,"['/m/02t9_mp', '/m/04hv9d1']"
Jamie Lloyd,"['/m/0jz2zn', '/m/045y4j1', '/m/0jz2yp']"
Damien Thorn,"['/m/03js195', '/m/02tb6br', '/m/05h9v78', '/m/02vbgkh']"
Marian Paroo,"['/m/0k5zfs', '/m/04hv61q']"
White Witch,"['/m/0k4qc5', '/m/0cg03k8']"
Carl Denham,"['/m/03l6ln_', '/m/0j_h9p']"
Cindy Campbell,"['/m/0k2z05', '/m/02tbfd1', '/m/0k2y_7', '/m/0k2yyf']"
Lee Chan,"['/m/0cg2tp7', '/m/0cs8vr7', '/m/04htyc4']"
Ajay Sharma,"['/m/04hvf6l', '/m/0dgb2hv']"
Charlie Croker,"['/m/0k5hrm', '/m/0k5hq1']"
The Tramp,"['/m/0j_qy7', '/m/09tbnf3']"
Sophie Piper,"['/m/04djh67', '/m/0jz3d5']"
Dark Witch,"['/m/02vd0z4', '/m/02vcgfk', '/m/02vcctr']"
Clark Kent,"['/m/0h571jd', '/m/0k3z25', '/m/0hgcdxr']"
Ben Marco,"['/m/0k5vyc', '/m/0k5v_2']"
Li Shang,"['/m/0bfm5z_', '/m/0bfm5_7']"
Harry Osborn,"['/m/0k3nl_', '/m/0k3ngl', '/m/0k3nj5', '/m/0j8pt1w']"
Henery Hawk,"['/m/0hyp1gd', '/m/0hyq5wy']"
