character_name,freebase_map_id
Conan Edogawa,"['/m/05cm5vm', '/m/040gd_3', '/m/0gcbn6g', '/m/0hqg9x1', '/m/040hvl7', '/m/0gdlw5z', '/m/0gchwht', '/m/0gdnq0y', '/m/040gbzd', '/m/0hqg95k', '/m/0hqgb8g']"
André Matias,"['/m/04mnngf', '/m/0g4nwkr']"
Harry Morgan,"['/m/0k4l7n', '/m/09j292v']"
Daniel Jackson,"['/m/04htrkj', '/m/0k3rhh']"
Mr. Moto,"['/m/04dhk8f', '/m/05ckg58']"
Pai Mei,"['/m/0bg79b7', '/m/0gz3h92']"
Sunder Srivastava,"['/m/045yrqp', '/m/0h885b8']"
Rachel Keller,"['/m/0k69dw', '/m/0k69bb']"
Emily Newton,"['/m/066b4fy', '/m/0jv5v7']"
Hildegarde Withers,"['/m/040nxmv', '/m/040nxls']"
Harold Lee,"['/m/0jz5zr', '/m/0dkc35z', '/m/02tbk11']"
Bhavani Shankar,"['/m/0dj2kk6', '/m/02vcvzq']"
Sweeney Todd,"['/m/03gn21r', '/m/0cc0ktf']"
Barnyard Dawg,"['/m/0hyp1g3', '/m/0hyq5x5']"
George Banks,"['/m/0k0gz2', '/m/0jy3fs']"
Dante Hicks,"['/m/09vvr68', '/m/0jwj13']"
The Boss,"['/m/0h32dyn', '/m/04xg2fg']"
Ruth Wonderly,"['/m/0k5txv', '/m/0k5tww']"
Master Wu,"['/m/0lf82z9', '/m/0gz2wtd']"
Tommy Biggs,"['/m/02tb6rp', '/m/02vcxbh']"
Ebenezer Scrooge,"['/m/040j5kd', '/m/05b8lf3', '/m/02sfh5z']"
Michael Corvin,"['/m/0k7ks3', '/m/0k7kv4']"
Mitch Weaver,"['/m/0cv_ypb', '/m/0gz56st']"
Karan Malhotra,"['/m/02vbbk_', '/m/040hgyq', '/m/02tb5b0']"
Ellen Griswold,"['/m/0k7qdl', '/m/02vbk07', '/m/0k14qp', '/m/0b6tmng']"
Brian O'Conner,"['/m/0k51p1', '/m/04m645v', '/m/0h9hfyb', '/m/0bq6trk', '/m/0jsj0x']"
Doc McCoy,"['/m/0k55cn', '/m/01xpznj']"
Frank Jones,"['/m/0jw_tc', '/m/040nk5h']"
Peter Pan,"['/m/051sqbq', '/m/0h2wjxb', '/m/0k1vpw']"
John Seward,"['/m/05mclfd', '/m/03jpd5b', '/m/0jxjp0']"
Son Goten,"['/m/0bgf7n6', '/m/0bgf7nz', '/m/0bgf7ng']"
Mahendra Varma,"['/m/0g8qhdb', '/m/0gl2k8f']"
Kevin Myers,"['/m/0gw28fp', '/m/07y5r67']"
T.J. Hicks,"['/m/0jx6qn', '/m/02vcp8k']"
Biff Tannen,"['/m/0jty7d', '/m/0jty60']"
James Ubriacco,"['/m/0k04lv', '/m/02vchxt']"
Ellen Ripley,"['/m/0jt7sz', '/m/0jt8h6', '/m/0jt8mf', '/m/0jt8dc']"
Perry Smith,"['/m/0jzvdm', '/m/03jrs92', '/m/0jw26b']"
Adolf Hitler,"['/m/03jql9d', '/m/0k0h_l', '/m/0jxht5', '/m/0n637wj']"
Calvin Palmer,"['/m/0jv0tw', '/m/02vc82x']"
Prem Kumar,"['/m/0dj2mhp', '/m/0h7b2f_']"
Carmen Cortez,"['/m/0g5ddb0', '/m/02s9tsc', '/m/02s9tx3', '/m/02s9tz1']"
Amy Fisher,"['/m/040n4dd', '/m/02vc8lg']"
Nikhil Kapoor,"['/m/04httj9', '/m/04z0twj']"
Howard Hughes,"['/m/0k0l1x', '/m/0c1hd5z', '/m/0k4cj3', '/m/02vb61_']"
Juliet Capulet,"['/m/0gch00c', '/m/0k8368', '/m/0k2p03', '/m/07slpzc']"
Clear Rivers,"['/m/0jy673', '/m/0jy647']"
Doctor Moreau,"['/m/0j_02y', '/m/02tbfz3']"
Richard Rich,"['/m/03l4z90', '/m/0jstg9']"
Frank James,"['/m/0jtf0_', '/m/0k5rtd']"
Samwise Gamgee,"['/m/03llqhb', '/m/0k5sfd']"
Kentaro Moto,"['/m/04dfy4m', '/m/03jt7y9']"
The Leprechaun,"['/m/03lmhfn', '/m/02tb6sq', '/m/02vb7fd', '/m/02vb3p9', '/m/02vcq9r']"
Alex Tanner,"['/m/0bfm5gj', '/m/0k42gx']"
Stone Alexander,"['/m/03kzpth', '/m/03jt91b']"
Reuben Tishkoff,"['/m/03jtcll', '/m/03l8zw0']"
Han Solo,"['/m/0k6jzj', '/m/02nwvmx', '/m/0k3r1_', '/m/01xpntj']"
Ash Williams,"['/m/0jxz7g', '/m/0k503x']"
Vikram Singh,"['/m/0csclt3', '/m/0jy5k4', '/m/03jpfl2', '/m/0cyb5j3', '/m/05npz42', '/m/03jsm3t']"
John Hatcher,"['/m/03jq7xf', '/m/03lrgzd']"
Ethan Hunt,"['/m/0k0qpl', '/m/0k0qsw', '/m/0k0qr1', '/m/0gx9sjv']"
Mike Wazowski,"['/m/0k0nqh', '/m/0k0t19']"
Drake Parker,"['/m/03l00bt', '/m/0gym45l', '/m/04q48y6']"
Mickey Goldmill,"['/m/0k2n0k', '/m/0k2n51', '/m/0k2n3v']"
Mark Gor,"['/m/0jsnw3', '/m/03js6pn']"
Amelia Earhart,"['/m/04dh3l0', '/m/04lrksq']"
Paul Smecker,"['/m/0k4k5x', '/m/0cf_qxn']"
Max Goldman,"['/m/02vbhnv', '/m/02vcwz0']"
The Pilot,"['/m/0ksx4js', '/m/0j_1t_k', '/m/0cf_qsw']"
Leia Organa,"['/m/0k3r24', '/m/0k3r3v', '/m/01xpnt9', '/m/0k6jzp']"
Count Dooku,"['/m/04m6bt1', '/m/04d4gf3', '/m/0k3q_8']"
Wally Walrus,"['/m/0665y9q', '/m/062wfnq', '/m/05nvdmb']"
Helen Hudson,"['/m/0k0b84', '/m/0jwpmj']"
Claude Cat,"['/m/0g9qb_n', '/m/0fs8qzh']"
Prithvi Singh,"['/m/02tbc95', '/m/03jrwsl']"
Ronald Niedermann,"['/m/0csfwpm', '/m/0c1w01w']"
Edmund Pevensie,"['/m/0646fl1', '/m/0k4q8z']"
Jai Kumar,"['/m/0gvylm7', '/m/0j_by2']"
Samantha Jones,"['/m/040kc8m', '/m/05nxhms']"
Priya Malhotra,"['/m/02vcd0h', '/m/0k0nvn']"
Dominic Toretto,"['/m/0h27_ht', '/m/0k51nx', '/m/04m645j', '/m/0gxrd8d', '/m/0bq6trf']"
Travis Coates,"['/m/03jqvlr', '/m/03jt5wz']"
Wendy Darling,"['/m/0k1vq0', '/m/0k1vn1']"
Ice Princess,"['/m/0h2d6bs', '/m/03jqz4d']"
Jack Walsh,"['/m/0k22fn', '/m/0k0n9r']"
Laurie Strode,"['/m/02vbjxs', '/m/0jz34_', '/m/0jz306', '/m/0jz2x0', '/m/0jz31z']"
Debbie Strand,"['/m/03js013', '/m/02tbgxw']"
Mrs. Deshmukh,"['/m/0h79rhb', '/m/0h8028j']"
Princess Aura,"['/m/0jy8qr', '/m/02vbs6s']"
Tom Brookman,"['/m/05gsc55', '/m/05gsc55']"
Arun Choudhury,"['/m/02vcmgt', '/m/02vbky0']"
Fa Mulan,"['/m/0bfm1v9', '/m/0bflz0y']"
King Triton,"['/m/0k5r0y', '/m/0csk3sv', '/m/0cg1qyd']"
Nanny McPhee,"['/m/0k13m0', '/m/06wlb65']"
Prince Derek,"['/m/0hgc6sz', '/m/0hgc6j3', '/m/0hgc6s8']"
Clark Griswold,"['/m/0k14qj', '/m/02vc36f', '/m/0k7qdf']"
Norman Pitkin,"['/m/0bmyyyw', '/m/0c5m6h2']"
Henry Bergner,"['/m/040j739', '/m/0jv8xg']"
Sheriff Hoyt,"['/m/0k6n8h', '/m/02vc6n0']"
Janet Weiss,"['/m/0k372l', '/m/0k69_6']"
Susan Johnson,"['/m/0jtrf2', '/m/0ghdkxt']"
Stu Price,"['/m/0gl2vlp', '/m/05srhg_']"
Susan Walker,"['/m/0k0q32', '/m/059t1qs']"
Ellen Carlsson,"['/m/09lxy7h', '/m/03jt3bs']"
Carol McCoy,"['/m/02vc73z', '/m/0k55ct']"
Maria Elena,"['/m/03kxpxx', '/m/02vcn7c']"
James Roberts,"['/m/06wjsth', '/m/0h2x2p_']"
Kristi Rey,"['/m/0djyb9b', '/m/0hf45qr']"
Hans Zarkov,"['/m/0jy8q8', '/m/02vbc6b', '/m/02vcnj8']"
Iron Man,"['/m/062_92n', '/m/02vb_x3']"
Dan Erickson,"['/m/05tf_jm', '/m/0cg5gmy']"
George Newton,"['/m/0jv5tm', '/m/0jv5rw']"
Agent Smith,"['/m/07ljr09', '/m/0k5w_p', '/m/0k5x24', '/m/0k5wz1']"
Eddie Johnson,"['/m/02vdf60', '/m/03jskq6']"
Charlie Calvin,"['/m/0k6ckh', '/m/0k6cmz']"
Pepper Potts,"['/m/02tb2fz', '/m/05tf_gs']"
Indiana Jones,"['/m/0k294p', '/m/0jzx9b', '/m/0jzx78']"
Peter Parker,"['/m/0gydht3', '/m/0gydhrt', '/m/0gydhr6']"
Thunderbolt Ross,"['/m/03jq1g0', '/m/02vc69m']"
Paul Crewe,"['/m/0k5s2n', '/m/0k5s1k']"
Jack Carter,"['/m/02vct8j', '/m/0jyqb2']"
Terry McKay,"['/m/0k06d_', '/m/03lsdmb', '/m/0jtg12']"
Henry Frankenstein,"['/m/0jvstj', '/m/0jyf2t']"
Marcellus Washburn,"['/m/0cg1g1t', '/m/0k5zg2']"
Jack Shepard,"['/m/099cmc4', '/m/0k8cqs']"
Master Shifu,"['/m/03ldqh1', '/m/0h2kqd9', '/m/059ss7b']"
Meyer Lansky,"['/m/0jvy6w', '/m/0k5sjv']"
Roy Miller,"['/m/083g8cj', '/m/040nlmc']"
Riley Poole,"['/m/0k14vc', '/m/02vcw4_']"
Shaggy Rogers,"['/m/0k2zxb', '/m/0k2zvd', '/m/0gw47sn', '/m/0b6vb9r', '/m/05cj0r7']"
Dale Arden,"['/m/02tbjvz', '/m/0jy8q3']"
Young Jenny,"['/m/0gch316', '/m/0c0n9bj']"
Mina Harker,"['/m/0jwq8d', '/m/0k5ns0', '/m/0dkcxxm', '/m/0jxjxb', '/m/0jvrhl', '/m/02vbtqw', '/m/0jxjqj']"
Sgt. Tibbs,"['/m/0k1jzm', '/m/040r9r9']"
Nick Parker,"['/m/0k6263', '/m/02vdf4j']"
Vijay Verma,"['/m/03lzmtp', '/m/0dgb0_t']"
Road Runner,"['/m/0hyq19j', '/m/0jsgkx9', '/m/0jsdhcc', '/m/0gb5xp2', '/m/052cftv', '/m/0hyn_cg']"
John Kreese,"['/m/0k5jy8', '/m/0k5k18']"
Misa Amane,"['/m/0bg66qy', '/m/0bg66r7']"
Sonia Mehra,"['/m/02vbd7x', '/m/0j_lwb']"
Nick Persons,"['/m/02tbc7h', '/m/0jtq4g']"
Kathy Lutz,"['/m/0k49zq', '/m/0k49y0']"
Kim Possible,"['/m/0j_gwj', '/m/0j_gvb']"
Eden Sinclair,"['/m/02vdcs8', '/m/0gchg1g']"
Amanda Young,"['/m/0k2y3y', '/m/05tf_js', '/m/02vd7w0']"
Mary Jane,"['/m/03jpbbb', '/m/0g4wl9q']"
Emmett Richmond,"['/m/06wgw3f', '/m/0j_wm9']"
James Bond,"['/m/0220wtn', '/m/02xg8xp', '/m/02nqjkd', '/m/03hqwg_', '/m/02k8g9d', '/m/02hw79s', '/m/02xg8v_', '/m/02vc6y6', '/m/02vd4_b', '/m/02xg8yj', '/m/02xg8w8', '/m/02xg8vf', '/m/021ymvc']"
Tracy Lord,"['/m/0k63nh', '/m/0jzf0y']"
Sister Sarah,"['/m/0g9qvsg', '/m/0k64rc']"
Sally Brown,"['/m/0h1j6fr', '/m/0k8dbth']"
The Man,"['/m/0gc82f1', '/m/0k0m6z', '/m/02ws868']"
Oscar Madison,"['/m/02vd1r8', '/m/0k60rx']"
Elena Morales,"['/m/04m5fbv', '/m/0k215t']"
Sara Crewe,"['/m/03lf13z', '/m/0jssz9']"
Daisy Duke,"['/m/0k4zkn', '/m/0k4zp7']"
Shuya Nanahara,"['/m/02vd69t', '/m/0jv37k']"
Jack Frost,"['/m/02vd4sd', '/m/0k6clm']"
Monty Oberoi,"['/m/040mg7w', '/m/0j_cw6']"
Mr. Tinkles,"['/m/0bv4v54', '/m/0cg06wk']"
Leo Bloom,"['/m/0k66b6', '/m/0k668x']"
Reba McClane,"['/m/0k2dcs', '/m/0k0f4g']"
Liu Kang,"['/m/0k0tzk', '/m/0k0tx0']"
Tony Manero,"['/m/02vccs7', '/m/0k2x4z']"
Sheriff Woody,"['/m/0k78tv', '/m/0k78xm', '/m/0k78wk']"
Bernie Focker,"['/m/0k0kj9', '/m/087gyq_']"
Joe Collins,"['/m/0jsn08', '/m/0jvx36', '/m/0ch6z1y']"
Arun Verma,"['/m/0dgb21_', '/m/040rw20']"
Kelsi Nielsen,"['/m/03js450', '/m/09sczh7']"
Speedy Gonzales,"['/m/0hhycjj', '/m/0hynyql', '/m/0hyq6y3', '/m/0hyq5w0', '/m/0gb0gqb', '/m/0hyp10y', '/m/0hyp1lc']"
Joel Cairo,"['/m/05nyhzc', '/m/02vc6v3']"
Hannibal Lecter,"['/m/0gcxyv0', '/m/0k2dc9', '/m/0jz4bm', '/m/0k6g86']"
Aunt Bea,"['/m/0cg2nb2', '/m/0666mpn']"
Kay Wilson,"['/m/02vb_g_', '/m/04j21c5']"
Scott Evil,"['/m/0byk7wl', '/m/0bylbmx']"
Willy Wonka,"['/m/07lh8zd', '/m/0k838z']"
Rahul Verma,"['/m/02tbjrw', '/m/0gw3f94']"
Miss Clavel,"['/m/02vb2yp', '/m/0bhf319']"
Mary Lane,"['/m/03lf4m3', '/m/04lqzd7']"
Homeless Man,"['/m/0h34zk5', '/m/0cg12m1']"
Anne Boleyn,"['/m/0hgt8_l', '/m/03ljsv9', '/m/0gydyj7', '/m/03q142q']"
Deuce Bigalow,"['/m/0jx6qh', '/m/02vdddt']"
Fred Flintstone,"['/m/02vcmsv', '/m/0krpc78', '/m/0k531r', '/m/0kr3lzq']"
Rachel Dawes,"['/m/03jsd6r', '/m/0cg83s3']"
Mickey Mouse,"['/m/0gy6vn2', '/m/04616r5', '/m/0h1kd5y', '/m/052c2jf', '/m/0gb047j', '/m/0gy6d6t', '/m/0gfsr9y', '/m/0gy6hdw', '/m/052c2jv', '/m/0gy6dd9', '/m/052bynr', '/m/0gy6jth', '/m/0gy6hd1', '/m/0gy6jqq', '/m/0g8qddb', '/m/05nn2dn', '/m/0gy6jx3', '/m/0gy6vlc', '/m/0gy6c_3', '/m/0gy6d6f', '/m/0gy6vlc', '/m/02vc_j6', '/m/0gy6hdm', '/m/0bykjd1']"
Mr. D,"['/m/02wt532', '/m/0cgpgkh']"
Vilos Cohaagen,"['/m/0gwhnwl', '/m/0k78f8']"
The Thief,"['/m/0h5n8vc', '/m/0bh5hdy', '/m/02tc3sz']"
Inspector Lestrade,"['/m/0chl6sv', '/m/0cgrxs9']"
Jean Valjean,"['/m/02vcfhr', '/m/0j_y2s']"
Richard Hannay,"['/m/0k47jd', '/m/059v2pk', '/m/0k47r3']"
John Ryder,"['/m/02vcy1r', '/m/0k5cm3']"
Lucy Westenra,"['/m/0jxjqp', '/m/02vc785', '/m/0jxjp5', '/m/02vbg2d', '/m/0jvrj6', '/m/0jxjxn', '/m/0jwq87', '/m/040h618']"
Flash Gordon,"['/m/02tbcr4', '/m/02vd9yp', '/m/03z8qs7']"
Amanda Krueger,"['/m/03jqtvs', '/m/0jsvnw']"
Victor Frankenstein,"['/m/02vcv78', '/m/02vbycz']"
Ann Darrow,"['/m/0bmzl_2', '/m/0j_h9j']"
Harry Lime,"['/m/0jzhmc', '/m/0k6p2c']"
Captain Haddock,"['/m/0j6_yzj', '/m/09hxz4g', '/m/04mhtln']"
Princess Jasmine,"['/m/0jt5wf', '/m/0jt5sk']"
Barbara Gordon,"['/m/0jv29r', '/m/041w0vy', '/m/0460kqm']"
Antoine Doinel,"['/m/0k47gt', '/m/03qc0y5', '/m/03qc0xm', '/m/03qc0x_']"
Camryn Barnes,"['/m/0k7ft9', '/m/0gdjqwz']"
Shamsher Singh,"['/m/0h70xb5', '/m/040g0b0']"
Uncle Jack,"['/m/0gcybvk', '/m/0cg7cyl']"
Joe Taylor,"['/m/059snl4', '/m/0k89bg']"
Quincey Morris,"['/m/052b76n', '/m/04m4x58', '/m/05n5vsg']"
Mark Hoffman,"['/m/02vc2sn', '/m/05tf_jy', '/m/09tc315', '/m/040m41s']"
Carlito Brigante,"['/m/0jw30w', '/m/02vd6qg']"
Hermione Granger,"['/m/0jz6f8', '/m/0jz6n0', '/m/09lybcg', '/m/0jz6j2', '/m/02vb8g9', '/m/0jz6bb', '/m/0jz6k3']"
Mildred Rogers,"['/m/02tb47f', '/m/04fsg7m']"
Arjun Singh,"['/m/04dfk9k', '/m/03l74nd', '/m/04d8d0h', '/m/0j_cl5', '/m/03llrr6']"
Matt Hunter,"['/m/02vb98g', '/m/0g5d0n9']"
Ram Kumar,"['/m/02tbf9j', '/m/0gh9rtv']"
Ardeth Bay,"['/m/03jsl68', '/m/03jsfhn']"
Mitch Robbins,"['/m/0jwgq9', '/m/0jwgnw']"
Andy Hardy,"['/m/0mtgqvd', '/m/01z0l3t']"
Seema Malhotra,"['/m/02vc15c', '/m/0k2tcb']"
William Stryker,"['/m/040qzwm', '/m/0k86xm']"
Terry Benedict,"['/m/03lg80x', '/m/0k1fdq']"
Heihachi Mishima,"['/m/04dhw8b', '/m/03l7tjr']"
Anna Morgan,"['/m/0hnphsr', '/m/0j9ty9y']"
Annie Porter,"['/m/0k3mmv', '/m/0k3mlj']"
Ward Abbott,"['/m/0k4kdf', '/m/0k4kg2']"
Little John,"['/m/07ylmkb', '/m/0k2m0r']"
Tanya Mousekewitz,"['/m/0669s3y', '/m/0jtghp', '/m/08npm3w']"
Truman Capote,"['/m/0465n2v', '/m/0jw260']"
Tommy Jarvis,"['/m/0crt3gg', '/m/02vcmv_']"
Pugsley Addams,"['/m/09hz5m7', '/m/09hy33d']"
Ned Morton,"['/m/0hyn_yt', '/m/0647y5j']"
Gilbert Blythe,"['/m/0d778sl', '/m/0jtm6n']"
Chuck Sherman,"['/m/0cg0j_k', '/m/03jsdb8']"
Mrs. Potts,"['/m/0fw2j1c', '/m/0fw2n55']"
The Kid,"['/m/03jryhy', '/m/02vcfyj']"
Pooja Saxena,"['/m/0dbxmj9', '/m/02vbkqg']"
Abraham Lincoln,"['/m/0k059l1', '/m/0k89pf', '/m/02tbdlx']"
Nobita Nobi,"['/m/0jyts8_', '/m/0k27jd3']"
Karan Singh,"['/m/0byknsp', '/m/0dgb2s4']"
Shere Khan,"['/m/06whpb9', '/m/0glwpz6', '/m/03lrrd_']"
Tom Sawyer,"['/m/06wk65w', '/m/02vc77b', '/m/0k5nsh']"
Wilma Flintstone,"['/m/0k5321', '/m/02vd788', '/m/0kr3lw3']"
